Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Senior pentester,Test og kvalitetsikring,"Lang erfaring og bred kompetanse. Kan teste sammensatt infrastruktur. Godt oppdatert innenfor både IT og IT-sikkerhet. GIAC Cloud Penetration Tester (GCPN), Offensive Security Certified Professional (OSCP)","Over 10 års erfaring i Forsvaret, med omfattende kompetanse innen cybersikkerhet.",Kan levere lettfattelige og gode rapporter som oppdragsgiver kan aksjonere på.,Helse Sør-Øst RHF,Helse,2023
Junior pentester,Test og kvalitetsikring,"Noe erfaring, for eksempel på spiss-testing av enkeltkomponenter i infrastrukturen. Godt oppdatert innenfor både IT og IT-sikkerhet. eLearnSecurity Certified Professional Penetration Tester (eCPPT)",Tidligere arbeid med administrativ sikkerhet og systemforvaltning av legevaktsentralsystemer.,,Helse Sør-Øst RHF,Helse,2023
Senior penetrasjonstester,Test og kvalitetsikring,"Sikkerhetstesting, sikkerhetskontroller, penetrasjonstesting, sikker utvikling, nettverk, skytjenester.","8 års erfaring som sikkerhetskonsulent hos mnemonic. Erfaring i utvikling, test og analyse av hardware- og softwareløsninger.","Strukturert og analytisk, kommuniserer svært godt skriftlig og muntlig.",Helse Sør-Øst RHF,Helse,2023
Junior penetrasjonstester,Test og kvalitetsikring,"Sikkerhetstesting, penetrasjonstesting, nettverk, skytjenester.",Har jobbet som sikkerhetsanalytiker på mnemonic sin SOC erfaring med hendelseshåndtering og analysearbeid.,,Helse Sør-Øst RHF,Helse,2023
Miljøansvarlig og Teknisk koordinator - RHF,Prosjektledelse,"Minimum 5 års arbeidserfaring som teknisk koordinator, prosjektleder og/eller testleder. Må ha gode skriftlige og muntlige fremstillingsevner. Relevant utdanning og/eller sertifiseringer.",Erfaring fra relevante tekniske IT-oppdrag. Erfaring med test av infrastruktur/applikasjoner. Erfaring fra helsesektor.,"Du trives med å jobbe i, og samarbeide med, et større team. Du er fleksibel. Du liker å ta initiativ.",Helse Sør-Øst RHF,Helse,2023
Delprosjektleder - Bygg IKT NSD (VVHF) - Nytt sykehus i Drammen,Programledelse,"Minimum 10 års erfaring med prosjektledelse og rådgivning innenfor helse, spesielt migreringsprosjekter. Inngående kjennskap til organisasjon- og systemeierlandskapet hos helseforetakene. Dyp kunnskap om applikasjonsporteføljen, bruk og dokumentasjon innenfor relevante helseforetak.",Erfaring med innføring og idriftsetting av virksomhetskritiske løsninger. Erfaring fra operativ bruk av IKT i sykehus. Erfaring med leveranser fra Sykehuspartner til nye sykehusbygg.,"Drivende for å få avklaringer og beslutninger, fokus på å levere innen tidsfrister. God skriftlig og muntlig framstillingsevne både norsk og engelsk. Gode samarbeidsevner. Strukturert og analytisk sterk. Høy arbeidskapasitet. Proaktiv og løsningsorientert.",Helse Sør-Øst RHF,Helse,2023
Teamleder for fagteam endringsledelse - SP - STIM Praksis og Endring,Endringsledelse,"Senior konsulent, høyere relevant utdanning på masternivå innen IKT, prosjektledelse, organisasjonsutvikling eller endringsledelse, sertifisering Prince 2, sertifisering Prosci Change Management.","Minimum 3 års erfaring med praktisk anvendelse av PROSCI rammeverk i endringsprosesser i større offentlige organisasjoner med fokus på de menneskelige faktorene, erfaring fra å lede endringsprosesser i større organisasjoner, erfaring med å lede et fagteam.","Evne til raskt å forstå organisasjonen og deres behov, bygge sterke relasjoner til ledere og nøkkelpersoner på alle nivåer, evne til å skape begeistring og motivasjon for endringene, utadvendt, strategisk, analytisk og strukturert, nysgjerrig, fokus på læring og kontinuerlig forbedring.",Helse Sør-Øst RHF,Helse,2023
Virksomhetsarkitekt,Virksomhetsarkitektur,"Kandidaten skal ha en solid bakgrunn i virksomhetsarkitektur, systemanalyse og erfaring fra store organisasjoner, og særlig med bakgrunn fra helsetjenesten og arkitekturstyring. Må-ha-krav til erfaring/kompetanse til valgt konsulent: Virksomhetsarkitektur herav prosess-, applikasjon-, data- og teknologiarkitekturer.","Min. 5-7 års erfaring. Kandidaten må evne å raskt skaffe seg oversikt over nasjonale- og regionale strategier, det regionale arkitekturmålbilde og relevante målarkitekturer.","God kommunikasjon, skriftlig og muntlig. Leveranseorientert, prosessdriver. Strukturert, systematisk. Selvstendig, proaktiv. Lagspiller. Ydmyk.",Helse Sør-Øst RHF,Helse,2023
Prosjektleder for SP STIM 5G innendørs mobildekning,Prosjektledelse,"Minimum 8 års erfaring i rollen som prosjektleder. Har erfaring fra å lede lignende prosjekter. Har god kjennskap til nettverk, telekom og mobilteknologi (3G/4G/5G). Ha erfaring fra å lede store prosjekter i offentlig sektor. Ha erfaring fra store sykehusbyggprosjekter. Kjennskap til Helse Sør-Øst og Sykehuspartner. Erfaring med bruk av smidig metodikk.",Erfaring fra arbeide med endringsledelse med etablering av tjeneste i offentlig virksomhet. Erfaring med å håndtere mange interessenter. Erfaring med bruk av Prosjektveiviseren i HSØ.,"Løsningsorientert, Strukturert, Gode samarbeidsegenskaper, Teamorientert",Helse Sør-Øst RHF,Helse,2023
"Prosjektleder, SP STIM 5G innendørs mobildekning",Prosjektledelse,,,,Sykehuspartner HF,Helse,2023
"Prosjektleder, STIM Regional testplattform",Prosjektledelse,"Sertifisering innen PRINCE2 og PRINCE2 agile. Erfaring med bruk av smidig metodikk i teknologinære prosjekter. Kjennskap til testmetodikk: 'Service validation and testing' - ITIL-prosess i henhold til metodeverket ISTBQ. Ønskede sertifiseringer innen SCRUM, Prosci, ITIL4/IT4IT.","Minimum 5 års dokumentert erfaring med ledelse av teknologinære prosjekter. Erfaring med å jobbe i tverrfaglige team. Erfaring fra store, komplekse organisasjoner.","Analytisk, løsningsorientert og strukturert. Drivende for å få avklaringer og beslutninger, og evner å levere innen tidsfrister. Kan stille krav og bygge gode relasjoner med linjen og interessenter. Gode samarbeidsevner (spesielt med tekniske ressurser og IKT-arkitekter). Evne til å skape begeistring og motivasjon for endringene.",Helse Sør-Øst RHF,Helse,2023
Prosjektleder testautomatisering,Prosjektledelse,"Minimum 2 års erfaring med å lede IKT prosjekt, erfaring med å utarbeide ledelsesdokumentasjon, business case, kost/nytte analyse, gevinstplaner og budsjett. Erfaring med skriftlig og muntlig statusrapportering. Ønsket: erfaring med Prosjektveiviseren, oppdatering av prosjektstyringsinformasjon i prosjektstyringsverktøy, agil/smidig metodikk, kjennskap til HSØ og funksjonell testautomatisering.",Prosjektledererfaring på minimum 2 år.,"Proaktiv, teamorientert, løsningsorientert, strukturert, god skriftlig og muntlig fremstillingsevne.",Helse Sør-Øst RHF,Helse,2023
Integrasjonsarkitekt - STIM tjenestemigrering,Løsningsarkitektur,"Min 5 års erfaring med Integrasjonsarkitektur eller løsningsarkitektur; Kompetanse om tekniske integrasjonsløsninger; Erfaring med løsningsdesign; Kjennskap til og designkompetanse på integrasjonsplattformer som Azure, BizTalk og Internet Information Services; Kjennskap til helsesektoren/større offentlige organisasjoner; Sikkerhetsarkitektur; Sikring av grensesnitt; Føderert sikkerhet; Synkron samhandling (protokoller: REST, SOAP, WCF); Ulike meldingsformater (for eksempel: KITH XML, HL7v2, HL7v3, HL7 FHIR); Erfaring med integrasjonsarkitektur og løsningsarkitektur i større virksomheter; Azure eller andre skyløsninger; Erfaring med smidige arbeidsmetoder; VMware","Analytisk sterk, solide samarbeidsevner, evne til å se helhet, solid forståelse for informasjonssikkerhet, tåle høyt arbeidspress med mange interessenter","God evne til å dokumentere, modellere, strukturere og presentere leveranser; Tåle høyt arbeidspress og mange interessenter; Gode samarbeidsegenskaper og fungerer godt i team; God kommunikasjonsevne, muntlig og skriftlig",Helse Sør-Øst RHF,Helse,2023
Kurs/workshop instruktør for ledere og medarbeidere,Kurs og opplæring,"Konsulentene må ha erfaring med tilsvarende kurs, være gode foredragsholdere og fasilitatorer. Kompetanse i endringsledelse og digital transformasjon.","Konsulentene skal ha minimum 3 års erfaring. Ann-Christine Moberg har mer enn 20 år erfaring som prosess- og linjeleder, Ingvild Einemo-Eriksen har mer enn 8 år erfaring.",Svært gode kommunikasjonsegenskaper både muntlig og skriftlig på norsk.,Folkehelseinstituttet,Helse,2023
Prosessleder og fasilitator for endringsprosesser,Prosessledelse og fasilitering,Konsulenten må ha tung ekspertise innenfor endringsledelse og erfaring med komplekse IT-transformasjoner.,Erfaring fra lignende oppdrag i helse- og omsorgsektoren.,"Evne til å skape relevans, interaktivitet og engasjement blant deltakerne.",Folkehelseinstituttet,Helse,2023
Jurist/DPIA rådgiver,Rådgivning juridisk,"Kjennskap til personvernlovgivningen, risikobasert tilnærming, helselovgivningen, Helse Sør-Østs ledelsessystem for informasjonssikkerhet, Normen, databehandleravtale, funksjonell arkitekturprinsipper og krav ved overføring til tredjeland","Erfaring med skriving av DPIA, tiltak for innebygd personvern, helsesektoren, test, sekundærbruk av data","Jobbe i team, Prosesspådriver",Helse Sør-Øst RHF,Helse,2023
Spesialrådgiver Informasjonssikkerhet,Offentlig kvalitetssikring,"Kjenne historikk om oppdragene fra HOD, erfaring med forebyggende sikkerhetsarbeid i spesialisthelsetjenesten, minimum fem års erfaring med styring og ledelse etter kravene i sikkerhetsloven og forskrifter, utarbeidelse av sikringsrisikoanalyser, erfaring med etterretning og produksjon av trusselvurderinger. Kurs i sikkerhetsstyring og ledelse, risikoanalyser, og trusseletterretning.","Minimum sikkerhetsklarering på nivå Hemmelig, bakgrunn fra Forsvaret eller Politiets etterretning minimum 5 år, erfaring med risikovurderinger etter risikotrekanten, fysisk sikring, styringssystem for sikkerhet, sektorvis strategisk trusselvurdering.","Proaktiv, høy gjennomføringsevne, gode kommunikasjons ferdigheter, ansvarlig, faglig integritet, lederegenskaper.",Helse Sør-Øst RHF,Helse,2023
Spesialrådgiver Informasjonssikkerhet,Rådgivning teknisk,,,,Sykehuspartner HF,Helse,2023
Sikkerhetsrådgiver - Bygg IKT - Nye Aker og Nye Rikshospitalet,Rådgivning teknisk,Erfaring fra informasjonssikkerhet minimum 5 år. Erfaring fysisk sikring minimum 3 år. Bør kunne fremvise relevant sertifisering innen informasjonssikkerhet.,"Interne ressursoverganger, veiledning i prosjektleveranser relatert til fysisk sikring, infrastruktur, nettverk og tjenesteproduksjon.","Evne til kompetanseoverføring, oppfølging i organisasjonen.",Helse Sør-Øst RHF,Helse,2023
Teknisk prosjektleder - SP - CERT,Prosjektledelse,Kandidaten må ha +10 års erfaring innen IKT fra større virksomheter. Kandidaten må kunne dokumentere å ha vært teknisk prosjektleder innen tilsvarende sikkerhetsprosjekter i minimum 5 år. Kandidaten må dokumentere å ha jobbet med sikkerhetsmonitorering/overvåking innen fagmiljø SOC/CERT. Kandidaten må være Prince2 sertifisert. Erfaring med gjennomføring av prosjekter innen SOC og CERT miljøer. Kjennskap til infrastruktur og verktøy som benyttes innen Cyber Security.,"Lang erfaring med samarbeid innen IT-sikkerhet, inkludert etablering av SOC og implementering av rutiner for monitorering og oppfølging av sikkerhetsrelaterte hendelser.","Strukturert og punktlig i sitt arbeid. Skal kunne håndtere tidsplaner, ressurser og oppgaver effektivt. Gode egenskaper innen kommunikasjon, formidling og endringsstyring.",Sykehuspartner,Helse,2023
IKT Konsulent innen Cyber Sikkerhet - SP - CERT Drift,Løsningsarkitektur,"Kandidaten må ha jobbet med Linux og Nettverk innen større driftsmiljøer. Må ha arbeidserfaring innen Network Intrusion Detection Systems. Kjennskap med nettverkstapping, og erfaring med pcap og applikasjonen Arkime/Moloch. Erfaring med ElasticSearch og automatisering med Ansible.",Seniorkonsulent: Min. 5 - 7 års erfaring.,Solid forståelse av nettverksteknologier og infrastruktur. Evne til å analysere komplekse nettverk og finne sikre løsninger. Gode muntlige og skriftlige kommunikasjonsevner. God forståelse av nettverkssikkerhet.,Sykehusinnkjøp,Helse,2023
DPIA Rådgiver - Talegjenkjenning - SP,Rådgivning teknisk,"Kjennskap om personvernlovgivningen, forståelse for de registrertes rettigheter, risikobasert tilnærming, mekanismer ved overføring til tredjeland","Erfaring med å ha skrevet DPIA, erfaring med tiltak for innebygd personvern","Jobbe i team, prosesspådriver, komfortabelt med forhandlinger",Sykehuspartner,Helse,2023
ROS-rådgiver,Rådgivning teknisk,Formell utdanning innen informasjonsteknologi eller informasjonssikkerhet. Kunnskap om standardene ISO 27001/27002/27005/31000. Erfaring med forskjellige metoder for risikovurderinger.,Dokumentert erfaring med sikkerhetsrelatert risikoarbeid/risikovurderinger. Erfaring fra helsesektoren.,"Gode samarbeidsegenskaper, både skriftlig og muntlig. Selvstendige og kan arbeide med tildelte oppgaver. Konsulenten skal kunne gjennomføre rådgivning og risikovurderinger av IKT tjenester.",Sykehuspartner,Helse,2023
Teamansvarlig,Løsningsarkitektur,"Dokumentert tyngre erfaring med løsningsdesign/løsningsarkitektur i relevante IKT-miljøer. Egnethet til å fylle en teamleder-rolle (lederegenskaper, strukturert, pålitelig, motiverende). Gode kommunikasjonsevner med ledelse og fagmiljøer, både muntlig og skriftlig.","Erfaring tilsier at denne rollen er en del-rolle på ca. 10%, og at teamansvarlig også utarbeider løsningsdesign.","Strukturerte, analytiske, effektive og gode til å dokumentere/rapportere.",Sykehuspartner,Helse,2023
Løsningsdesigner,Løsningsarkitektur,God generell relevant teknisk erfaring med å lage løsningsdesign/løsningsarkitekturer. God forståelse for hvordan ta hensyn til informasjonssikkerhet og personvern når man lager designet (Security by design). De fleste ressursene i teamet bør ha erfaring fra design av løsninger for helsesektoren.,Relevant erfaring med IT-sikkerhet og risikoanalyse for helsesektoren.,"Strukturerte, analytiske, effektive og gode til å dokumentere/rapportere.",Sykehuspartner,Helse,2023
Arkitekt IKT - SP-STIM Regional testplattform,Virksomhetsarkitektur,"TOGAF sertifisert, PRINCE2 sertifisert, Erfaring som IT arkitekt med oppgaver innen modellering av prosesser og arbeidsflyt, Erfaringer med testmiljø og testplattformer, Minimum 3 års erfaring relatert til arkitektur på plattformer, Erfaring med skybaserte leveransemodeller, Erfaring fra rolle som krevde helhetsforståelse for moderne infrastruktur, Kjennskap til Sykehuspartner/HSØ arkitektur og organisasjon",Kompetansenivå: Seniorkonsulent med 5-7 års erfaring,"God skriftlig og muntlig framstillingsevne, Evne til å arbeide strukturert, systematisk og selvstendig, Gode kommunikasjonsevner – forklare komplekse problemstillinger på en enkel måte",Sykehuspartner,Helse,2023
Prosess-/prosjektleder,Prosjektledelse,Ressursen skal kunne lede og gjennomføre evaluering av prosesser og prosjekter knyttet til anskaffelser. Må kunne dokumentere tidligere gjennomførte oppdrag med utredningsarbeid og rapportskriving. Må kunne dokumentere relevant erfaring fra større IT prosjekter/anskaffelsesprosjekter.,Kjennskap til dagens CMS løsning. Erfaring med evaluering og vurdering av komplekse prosesser. Erfaring fra lignende oppgaver i HSØ fra før. Erfaring med beskrivelse av læringspunkter. Kompetanse på evalueringsmetoder. God skriftlig og muntlig fremstillingsevne. Erfaring med anskaffelsesprosesser.,Viktig at ressurs er selvstendig og flink til å oppsøke informasjon. Viktig at ressurs kan kommunisere på alle nivåer i en stor organisasjon. God skriftlig og muntlig fremstillingsevne.,Helse Sør-Øst RHF,Helse,2023
Oppdragsansvarlig,Prosjektledelse,Ressursen skal kunne lede og gjennomføre evaluering av prosesser og prosjekter knyttet til anskaffelser. Må kunne dokumentere tidligere gjennomførte oppdrag med utredningsarbeid og rapportskriving. Må kunne dokumentere relevant erfaring fra større IT prosjekter/anskaffelsesprosjekter.,Kjennskap til dagens CMS løsning. Erfaring med evaluering og vurdering av komplekse prosesser. Erfaring fra lignende oppgaver i HSØ fra før. Erfaring med beskrivelse av læringspunkter. Kompetanse på evalueringsmetoder. God skriftlig og muntlig fremstillingsevne. Erfaring med anskaffelsesprosesser.,Viktig at ressurs er selvstendig og flink til å oppsøke informasjon. Viktig at ressurs kan kommunisere på alle nivåer i en stor organisasjon. God skriftlig og muntlig fremstillingsevne.,Helse Sør-Øst RHF,Helse,2023
Hovedprosjektleder for regional EPJ modernisering,Prosjektledelse,Minimum 8 års erfaring som prosjektleder. Ledet et større DIPS-prosjekt i 100 % stilling over minimum 1 år. Kjennskap til HSØ og helseforetakene.,Erfaring med å lede prosjekter med bruk av HSØ sine rammer og struktur for prosjektstyring. Ledet prosjekter med høye krav til informasjonssikkerhet og personvern.,"Tydelig som leder, god på kommunikasjon, initiativrik, engasjert, god prosessdriver, har gode samarbeidsevner, gode analytiske evner.",Sykehuspartner,Helse,ukjent
"Hovedprosjektleder RHF, regional EPJ modernisering",Prosjektledelse,,,,Sykehuspartner,Helse,2023
Senior fagekspert M365-rådgiver - Publisering og dokumentasjonsverktøy,Rådgivning teknisk,God oversikt over hele M365-plattformen og oppdatert på den nyeste teknologien. Dokumentert 3-5 års erfaring med M365-plattformen. Kan sette opp Microsoft 365-tenant.,Min. 5 års erfaring som seniorkonsulent.,"Liker å jobbe med de lange linjene, men også være løsningsorientert. Initiativrik, strukturert og systematisk.",Sykehuspartner,Helse,2023
Applikasjonstilrettelegger,Rådgivning teknisk,Min. 5 års erfaring med pakking og distribusjon av applikasjoner med App-V og MSI fra større bedrifter. Kompetanse i bruk av Ivanti WM / IWC og AM. Kompetanse på Active Directory og GPO’s.,"Erfaring fra migreringsprosjekter i Helse Sør Øst. Erfaring med firewall bestillinger i HSØ. Kompetanse på avviksmelding via Helse SIM. Ha erfaring med drift fra større bedrifter. Kjennskap til applikasjonstilrettelegging i Sykehuspartner / HSØ. Kompetanse om Citrix i større miljøer. Kjennskap til Micro Focus ALM verktøy. Erfaring med teknisk dokumentasjon, inkludert av levert arbeid. Erfaring med å jobbe både selvstendig og i team.",Gode kommunikasjons- og samarbeidsegenskaper. Strukturert. Løsningsorientert. Vant til å jobbe i store organisasjoner.,Sykehuspartner,Helse,2023
Hoved-prosjektleder,Prosjektledelse,"Minimum 8 års erfaring som prosjektleder for systemintegrasjons-/omleggingsprosjekter i store og komplekse organisasjoner. Erfaring med å utarbeide gode styringsdokumenter, presentere for styringsgruppe, og sertifisering innen relevant prosjektmetodikk.",Minimum 8 års erfaring fra planlegging og gjennomføring av produksjonssetting av systemtilpasninger og –endringer i store og komplekse organisasjoner. Minimum 2 års erfaring med å lede prosjekter i det offentlige.,"Evne å sette seg raskt inn i oppdraget og problemstillinger knyttet til prosjektets leveranser. Initiativrik, tydelig og løsningsorientert, selvgående profil. God evne til å kommunisere tydelig både med fagmiljø og ledelse og evne å motivere og engasjere teammedlemmer.",Sykehuspartner,Helse,2023
Prosjektleder VOSS-prosjektet,Prosjektledelse,,,,Sykehuspartner,Helse,2023
Applikasjonstilrettelegger – Rolle 2,Rådgivning teknisk,"Har min. 5 års erfaring med pakking og distribusjon av applikasjoner med App-V og MSI fra større bedrifter, MSI-pakking med pakkeverktøy Admin Studio, Virtualisere applikasjoner med Microsoft APP-V 5.1, System Center Configuration Manager 2012, Kompetanse i bruk av Ivanti WM / IWC og AM, Relevant kompetanse i MSIX og kodesignering.","Erfaring med drift fra større bedrifter, kjennskap til applikasjonstilrettelegging i Sykehuspartner og/eller HSØ, kompetanse på Active Directory og GPO’s, kompetanse om Citrix i større miljøer, kjennskap til Micro Focus ALM Octane, erfaring med teknisk dokumentasjon, inkludert av levert arbeid, erfaring med å jobbe både selvstendig og i team.",Imøtekommende i arbeidet både i internt og mot oppdragsgiver,Sykehuspartner,Helse,2023
Rådgiver IKT,Rådgivning teknisk,"Har min. 8 års erfaring med rådgiving, sanering og pakking samt distribusjon av applikasjoner med App-V og MSI fra større bedrifter, System Centre Configuraton Manager 2012, Erfaring med Installshield og pakkeverktøy Admin Studio, Virtualisere applikasjoner med Microsoft APP-V 5.1, System Center Configuration Manager 2012 sertifisering, Kompetanse i bruk av RES/IWC","Kjennskap til byggeteknisk IKT, Kjennskap til applikasjonstilrettelegging i Sykehuspartner og/eller HSØ, Erfaring med teknisk dokumentasjon, inkludert av levert arbeid, Erfaring med å jobbe både selvstendig og i team",Imøtekommende i arbeidet både i internt og mot oppdragsgiver,Sykehuspartner,Helse,2023
Rådgiver IKT - Bygg IKT Løsningsfabrikken,Rådgivning teknisk,"Konsulenten må ha kunnskap om infrastrukturkomponenter, integrasjoner, testmiljøer, HP Service Manager, AdminStudio, Microsoft APP-V 5.1, SCCM, ITIL Service Operation, IWC og Micro Focus ALM Octane.","Det kreves erfaring med å håndtere incidenter og oppgaver i HP Service Manager, applikasjonstilrettelegging, distribusjon av applikasjoner, og driftsoppgaver relatert til applikasjonstilrettelegging og prosjektdrift.",,Sykehuspartner HF,Helse,2023
Senior Risikokoordinator - STIM Infrastruktur - SP - Kvalitet,Prosjektledelse,"Prince 2 sertifisering, Sertifisert RMP – Risk Management Professional eller MoR - Management of Risk, Mer enn fem års dokumentert erfaring i en rolle som 'risk manager'/risikokoordinator innenfor operasjonell risikostyring.","Erfaring som risikokoordinator både fra offentlig sektor og for komplekse IT-program eller prosjekter, Kunne støtte og koordinere risikostyring i et komplekst program mot linjeorganisasjon og virksomhetsstyring, Kunne støtte, rapportere og kommunisere risiko til prosjektledelse og andre interessenter, Erfaring med å analysere og aggregere risiko fra prosjektnivå til programnivå, og erfaring med å finne og anbefale fornuftige tiltak på tvers av prosjekter, Følge opp risikoeiere slik at vedtatte tiltak blir iverksatt, Kunne implementere risikostyringsrutiner i et program, en portefølje eller en virksomhet, God kjennskap til ITIL-rammeverk, ISO-seriene 31000 (Risikostyring) og 27000 (Informasjonssikkerhet).",Ingen spesifikke egenskaper nevnt.,Sykehuspartner,Helse,ukjent
Senior Risikokoordinator - STIM Infrastruktur,Rådgivning teknisk,"Koordineringsansvar for risikoarbeidet i programmet, kravstiller og støtte til prosjektene",,,Sykehuspartner HF,Helse,2023
IKT konsulent innen Cyber sikkerhet,Rådgivning teknisk,"Må ha jobbet med Linux og Nettverk innen større driftsmiljøer, og kunne vise til arbeid innen Network Intrusion Detection Systems.","Kjennskap med nettverkstapping, kjennskap til skanning og tuning av nettverkstrafikk med Suricata, erfaring med pcap og applikasjonen Arkime/Moloch, erfaring med ElasticSearch, god kjennskap til automatisering med Ansible.","Solid forståelse av nettverksteknologier og infrastruktur, evne til å analysere komplekse nettverk og finne sike og stabile løsninger, gode muntlige og skriftlige kommunikasjonsevner, evne til å se løsninger fra et brukerperspektiv og utforme løsninger deretter, god forståelse av nettverkssikkerhet.",Sykehuspartner,Helse,2024
Prosjektleder,Prosjektledelse,"Minimum 8 års erfaring som prosjekt- eller programleder fra IKT-prosjekter i store organisasjoner, erfaring med å lede komplekse og sammensatte prosjekter, erfaring innen forskning, ønsket erfaring fra IKT-prosjekter i helsevesenet, erfaring med helsevesenets systemer, statlig prosjektveileder eller lignende, kjennskap til eksisterende løsninger for forskning","Erfaring med å lede IKT-prosjekter i Helse Sør-Øst/Sykehuspartner, kjennskap til forskningsmiljøenes behov","Selvgående, initiativrik, svært gode samarbeidsevner, sterke kommunikasjonsevner, 'Trusted advisor', strukturert, relasjonsbygger, høy produksjonskapasitet",Sykehuspartner,Helse,2023
"Prosjektleder, RHF - Nasjonalt genomsenter",Prosjektledelse,"Minimum 8 års erfaring som prosjektleder, minimum Bachelor-utdanning, kjent med Prosjektveiviseren, erfaring med gevinstrealiseringsplaner for IKT-implementeringer.","3 års erfaring med IKT-digitaliseringsprosjekt i helsesektoren, prosjektledererfaring fra spesialisthelsetjenesten.","Proaktiv, resultatorientert, analytisk, systematisk, gode kommunikasjonsevner muntlig og skriftlig.",Sykehuspartner,Helse,ukjent
"Prosjektleder, RHF - Verktøystøtte for nye metoder",Prosjektledelse,"Minimum 5 års erfaring som prosjektleder, erfaring med IKT-digitaliseringsprosjekt, smidig utviklingsmetodikk, Master-utdanning, kjennskap til Prosjektveiviseren, erfaring med gevinstrealiseringsplaner.","Minimum 5 års erfaring som prosjektleder, 2 års erfaring med IKT-digitaliseringsprosjekt i helsesektoren, erfaring fra spesialisthelsetjenesten, komplekse prosesser, Prince2 sertifisert.","Proaktiv, resultatorientert, analytisk, systematisk, metodisk, strukturert, gode kommunikasjonsevner.",Sykehuspartner,Helse,2023
Teknisk prosjektleder for ny medikamentell kreftbehandlingsløsning,Prosjektledelse,Sertifisering i PRINCE 2/PRINCE2 Agile. Minimum 3 års dokumentert erfaring med ledelse av tekniske prosjekter.,"Dokumentert erfaring med tekniske plattform datamigrering, integrasjoner, informasjonssikkerhet, identitet og tilgangsstyring (IAM). Kjennskap til Helse Sør-Øst sin felles regionale plattform er en fordel. Erfaring med å jobbe i henhold til Prosjektveiviseren.","Evne til å sette seg raskt inn i det tekniske området, tar eierskap og driver arbeid selvstendig, løsningsorientert, fremoverlent og nysgjerrig, evner å håndtere en prosjekthverdag med høyt tempo, teamorientert og glad i å jobbe mot felles mål, god på å bygge relasjoner, samt kommunisere godt med ulike interessenter, god muntlig og skriftlig fremstillingsevne på norsk og engelsk.",Sykehuspartner,Helse,2023
Prosjektstøtte,Prosjektledelse,"Prince 2 sertifisering, utdanning på høyskole- eller universitetsnivå (bachelorgrad eller høyere), minimum 2 års erfaring i rollen som prosjektleder og/eller prosjektstøtte","Erfaring med administrasjon, rapportering, dokumentasjon i IKT-prosjekter, bruk av risiko, effekt, plan og avhengigheter i prosjektstyring, faseoverganger og endringsanmodninger iht. Prosjektveiviseren, bruk av prosjektledelsesverktøy som Excel, MS Project, Clarity, prosjekter etter smidig metodikk, og bruk av ALM Octane","Strukturert og fremoverlent, positiv og støttende, god muntlig og skriftlig fremstillingsevne",Sykehuspartner,Helse,2023
Juridisk rådgiver,Rådgivning juridisk,"Jurist med god teknologiforståelse, rettsinformatikker eller forvaltningsinformatiker; erfaring med personvernlovgivning i praksis; erfaring med gjennomføring av DPIA.","Seniorkonsulent (minimum 5-7 år) eller spesialist (minimum 8 år); erfaring med vurderinger knyttet til bruk av sky, inkludert amerikansk regelverk; erfaring med innebygd personvern og personvern som standard; kjennskap til risikobasert tilnærming og Norm for informasjonssikkerhet.",Kunne jobbe i team; prosesspådriver.,Sykehuspartner,Helse,2023
Konsulent M365 Brukeradopsjon,Rådgivning teknisk,"Lang dokumentert erfaring innen konfigurasjon av M365, svært god kjennskap til verktøyene i M365-porteføljen, erfaring med brukeradopsjon ved implementering av M365, kunne produsere underlagsdokumenter og presentasjoner med høy kvalitet, kjennskap til Helse Sør-Øst og/eller lignende offentlige organisasjoner, evne til workshop-fasilitering.",Minimum Seniorkonsulent,"Selvgående og initiativrik, svært gode samarbeidsevner",Sykehuspartner,Helse,ukjent
Assisterende teamleder for brukeradopsjonssporet,Prosjektledelse,"Lang dokumentert erfaring med M365, konfigurasjon, brukeradopsjon, produksjon av presentasjoner og underlagsdokumenter, kjennskap til Helse Sør-Øst, sertifiseringer innen Microsoft 365/brukeradopsjon, erfaring med Kursbyggeren, redaktørkompetanse for SharePoint.",Minimum seniorkonsulent,"Selvgående, initiativrik, gode samarbeidsevner",Sykehuspartner,Helse,ukjent
Prosjektleder integrasjoner og tilgangsstyring,Prosjektledelse,"Dokumentert erfaring med ledelse av prosjekter for etablering og testing av integrasjoner i helsevesenet, inkludert meldingsformater HL7 og KITH, samt erfaring med integrasjonsarkitektur og løsninger for provisjonering av brukere og føderert tilgangsstyring.",Minimum 1 års erfaring med integrasjoner til/fra radiologisystemer fra Sectra. Kunnskap om Sykehuspartners integrasjonsarkitektur og prosjektmetodikk brukt i Helse Sør-Øst.,"Prosess- og prosjektledelse, gode samarbeidsevner, strukturert, løsnings- og leveranseorientert, god kommunikasjonsevne, stor arbeidskapasitet.",Sykehuspartner,Helse,2023
